Name,Location,Unit,Search,Address,Postal Code,Latitude,Longitude,Link
KFC,Funan Mall,#01-19,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",107 North Bridge Road #01-19 Singapore 179105,179105,1.2913,103.85,https://www.halaltag.com/place/5
KFC,Gek Pok Ville Community Club,#01-02,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Jurong West Street 74  #01-02  Singapore 649149,649149,1.3487,103.6987,https://www.halaltag.com/place/5
KFC,Greenridge Shopping Centre,#01-04,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 524A Jelapang Road #01-04  Singapore 671524,671524,1.3854,103.7662,https://www.halaltag.com/place/5
KFC,HarbourFront Centre,#02-83/84,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Martime Square #02-83/84  Singapore 099253,99253,1.2637,103.8199,https://www.halaltag.com/place/5
KFC,Heartland Mall,#01-13,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",205 Hougang Street 21 #01-13  Singapore 530205,530205,1.3595,103.8852,https://www.halaltag.com/place/5
KFC,Hillion Mall,#B2-54/55/56,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",17 Petir Road #B2-54/55/56 Singapore 678278,678278,1.3784,103.7631,https://www.halaltag.com/place/5
KFC,Hougang 1,#01-24,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Hougang Street 91 #01-24 Singapore 538692,538692,1.3757,103.8795,https://www.halaltag.com/place/5
KFC,Hougang Mall,#01-19,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",90 Hougang Avenue 10 #01-19  Singapore 538766,538766,1.3725,103.8938,https://www.halaltag.com/place/5
KFC,Hougang Point,#01-13/14,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",1 Hougang Street 91 #01-13/14  Singapore 538692,538692,1.3757,103.8795,https://www.halaltag.com/place/5
KFC,Jalan Mas Puteh,,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",35 Jalan Mas Puteh  Singapore 128635,128635,1.3084,103.7623,https://www.halaltag.com/place/5
