Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
SE0,SKG,Sengkang,盛港,2003,,5 Sengkang Square,545062,1.391666667,103.895
SE6,SKG,Sengkang,盛港,2003,,5 Sengkang Square,545062,1.391666667,103.895
SW9,SKG,Sengkang,盛港,2005,,5 Sengkang Square,545062,1.391666667,103.895
SW0,SKG,Sengkang,盛港,2005,,5 Sengkang Square,545062,1.391666667,103.895
SW1,CGL,Cheng Lim,振林,2013,,5 Anchorvale Street,545047,1.396388889,103.8936111
SW2,FMW,Farmway,农道,2007,,35 Anchorvale Street,545048,1.398977778,103.8889111
SW3,KPG,Kupang,古邦,2015,,60 Fernvale Street,797697,1.399227778,103.8813194
SW4,TNG,Thanggam,丹甘,2005,,40 Fernvale Road,797699,1.399355556,103.8747944
SW5,FNV,Fernvale,芬微,2005,,10 Fernvale Road,797698,1.393208333,103.8763028
SW6,LYR,Layar,拉雅,2005,,11 Sengkang West Avenue,797700,1.394025,103.8797528
SW7,TGK,Tongkang,同港,2005,,80 Sengkang East Avenue,545050,1.391077778,103.8857722
SW8,RNJ,Renjong,仁宗,2005,,60 Sengkang East Avenue,545049,1.386613889,103.890425
TE1,WDN,Woodlands North,兀兰北,2020,,20 Woodlands North Coast Road,737668,1.448333333,103.785
TE10,MPL,Mount Pleasant,快乐山,,,,,1.328611111,103.8355556
TE11,STV,Stevens,史蒂芬,2022,,92 Stevens Road,257877,1.32,103.8261111
TE12,NPR,Napier,纳比雅,2022,,2 Napier Road,258511,1.306944444,103.8191667
TE13,OBV,Orchard Boulevard,乌节林荫道,2022,,20 Orchard Boulevard,248654,1.3025,103.825
TE14,ORC,Orchard,乌节,2022,,437 Orchard Road,238878,1.303333333,103.8316667
TE15,GRW,Great World,大世界,2022,,351 River Valley Road,238384,1.295,103.8336111
TE16,HVL,Havelock,合乐,2022,,110 Zion Road,168604,1.287777778,103.8336111
TE17,OTP,Outram Park,欧南园,2022,,10 Outram Road,169037,1.280277778,103.8394444
TE18,MAX,Maxwell,麦士威,2022,,50 Neil Road,88906,1.280277778,103.8438889
TE19,SHW,Shenton Way,珊顿道,2022,,2 Park Street,18928,1.2775,103.8508333
TE2,WDL,Woodlands,兀兰,2020,,30 Woodlands Avenue 2,738343,1.437094444,103.7864833
TE20,MRB,Marina Bay,滨海湾,2020,,21 Park Street,18925,1.276097222,103.854675
TE21,MRS,Marina South,滨海南,,,61 Marina Mall,19397,1.273888889,103.8630556
TE22,GRB,Gardens by the Bay,滨海湾花园,2022,,11 Marina Mall,19396,1.278333333,103.8680556
TE22A,FDM,Founders' Memorial,建国先贤纪念园,2027,,,,1.291111111,103.8686111
TE23,TRH,Tanjong Rhu,丹戎禺,2024,,2 Tanjong Rhu Place,436488,1.297222222,103.8733333
TE24,KTP,Katong Park,加东公园,2024,,,,1.297777778,103.8852778
TE25,TKT,Tanjong Katong,丹戎加东,2024,,2 Amber Road,439846,1.299166667,103.8977778
TE26,MPR,Marine Parade,马林百列,2024,,,,1.3025,103.905
TE27,MTC,Marine Terrace,马林台,2024,,,,1.306111111,103.9133333
TE28,SGL,Siglap,实乞纳,2024,,,,1.309722222,103.9288889
TE29,BSR,Bayshore,碧湾,2024,,,,1.314722222,103.9436111
TE3,WDS,Woodlands South,兀兰南,2020,,30 Woodlands Drive 17,737741,1.427222222,103.7938889
TE30,BDS,Bedok South,勿洛南,2025,,,,1.316666667,103.9483333
TE31,SGB,Sungei Bedok,双溪勿洛,2025,,,,1.320277778,103.9572222
TE4,SPL,Springleaf,春叶,2021,,825 Upper Thomson Road,787140,1.397777778,103.8183333
TE5,LTR,Lentor,伦多,2021,,1 Lentor Drive,789361,1.384722222,103.8366667
TE6,MFL,Mayflower,美华,2021,,91 Ang Mo Kio Avenue 4,569900,1.3725,103.8372222
TE7,BRH,Bright Hill,光明山,2021,,100 Sin Ming Avenue,575737,1.361666667,103.8322222
TE8,UTS,Upper Thomson,汤申路上段,2021,,1 Jalan Keli,577937,1.354166667,103.8333333
TE9,CDT,Caldecott,加利谷,2021,,38 Toa Payoh Rise,298113,1.337777778,103.8394444
